"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\Proyecto Final\app_sw1\app_sw1final\lib\features\home\presentation\widget\header-hs.dart", "Dart", 0, 0, 1, 1
"Total", "-", 0, 0, 1, 1
